degree,mse,r2
5,28869.585706005313,0.6389787407222496
6,27875.55281800679,0.6514093661092317
7,27154.96589361861,0.6604204825662159
8,26460.991802451015,0.669098799007984
9,25264.863812911575,0.6840566732718695
10,24711.43240703757,0.6909774689184425
